school,volunteer,sports,clubs,sports_clubs,help_others,explore,experience,resume,friends,leadership,other_benefits,no_benefits,distracts,training,frustrating,boring,takes_time,money,other_neg,no_neg,specialized_school
Academy of Law and Public Safety,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
Academy of Law and Public Safety,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
Academy of Law and Public Safety,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
Academy of Law and Public Safety,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
Academy of Law and Public Safety,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1
Academy of Law and Public Safety,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1
Academy of Law and Public Safety,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
Academy of Law and Public Safety,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1
Academy of Law and Public Safety,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
Academy of Law and Public Safety,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1
"Arthur L. Johnson, NJ/USA",1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
Atlantic County Institute of Technology N.J. US,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0
Barnegat High School,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Barnegat High School,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Barnegat High School,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0
Barnegat High School,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
"Battlefield High School, VA, USA",1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
Bordentown Regional High School,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0
Brick Memorial High School,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Brick Memorial High School,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
Brick Memorial High School,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Brick Memorial High School,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0
Brick Memorial High School,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Brick Memorial High School,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Brick Memorial High School,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0
Brick Memorial High School,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Brick Memorial High School,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
Brick Memorial High School,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Brick Memorial High School,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Brick Memorial High School,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0
Brick Memorial High School,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
Brick Memorial High School,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Brick Memorial High School,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Brick Memorial High School,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0
Brick Memorial High School,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0
Brick Memorial High School,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0
Brick Memorial High School,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
Brick Memorial High School,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0
Brick Memorial High School,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0
Brick Memorial High School,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0
Brick Memorial High School,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0
Brick Memorial High School,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0
Brick Memorial High School,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0
Brick Memorial High School,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Brick Memorial High School,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0
Brick Memorial High School,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0
Brick Memorial High School,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0
Central Regional High School,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Central Regional High School,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
Central Regional High School,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0
Central Regional High School,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0
Central Regional High School,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Central Regional High School,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Central Regional High School,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Central Regional High School,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
Central Regional High School,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0
Central Regional High School,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Central Regional High School,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0
Central Regional High School,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
Central Regional High School,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0
Central Regional High School,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0
Central Regional High School,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0
Central Regional High School,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Central Regional High School,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Central Regional High School,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
Central Regional High School,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Central Regional High School,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
Central Regional High School,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0
Central Regional High School,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Central Regional High School,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
Central Regional High School,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0
Central Regional High School,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0
Central Regional High School,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Central Regional High School,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0
Central Regional High School,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0
Central Regional High School,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
Central Regional High School,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
Central Regional High School,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Central Regional High School,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
Central Regional High School,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Central Regional High School,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0
Central Regional High School,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
Central Regional High School,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
Central Regional High School,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Central Regional High School,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0
Central Regional High School,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
Central Regional High School,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Central Regional High School,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Central Regional High School,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
Central Regional High School,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Central Regional High School,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0
Central Regional High School,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Central Regional High School,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0
Central Regional High School,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
Central Regional High School,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Central Regional High School,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
Central Regional High School,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
Central Regional High School,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0
Central Regional High School,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
Central Regional High School,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0
Central Regional High School,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0
