label,set,mean,,split,auc
volunteer ,training,0.4171322,,50,0.608123
help_others ,training,0.8938547,,51,0.5995365
leadership ,training,0.7104283,,52,0.5993699
experience ,training,0.6573557,,53,0.6024237
resume ,training,0.632216,,54,0.6025211
friends ,training,0.6108007,,55,0.6191328
explore ,training,0.4832402,,56,0.6170955
distracts ,training,0.4739292,,57,0.6202341
money ,training,0.4478585,,58,0.6265881
boring ,training,0.4413408,,59,0.6270825
specialized_school ,training,0.4348231,,60,0.6278444
volunteer ,testing,0.9692308,,61,0.6270141
help_others ,testing,0.9538462,,62,0.6247687
leadership ,testing,0.9384615,,63,0.6263756
experience ,testing,0.6615385,,64,0.6325235
resume ,testing,0.6615385,,65,0.6360385
friends ,testing,0.9538462,,66,0.6260135
explore ,testing,0.5076923,,67,0.6236536
distracts ,testing,0.3692308,,68,0.6151924
money ,testing,0.3384615,,69,0.6270392
boring ,testing,0.4153846,,70,0.6254332
specialized_school ,testing,0.09230769,,71,0.6263995
,,,,72,0.6342177
,,,,73,0.6314216
,,,,74,0.6288344
,,,,75,0.6340852
,,,,76,0.6327812
,,,,77,0.6189135
,,,,78,0.6268291
,,,,79,0.6324936
,,,,80,0.6291204
,,,,81,0.627729
,,,,82,0.6147881
,,,,83,0.6312683
,,,,84,0.6283784
,,,,85,0.6102504
,,,,86,0.6020022
,,,,87,0.5956504
,,,,88,0.6173246
,,,,89,0.6260127
,,,,90,0.6075212
