,volunteer,sports,clubs,sports_clubs,helping_others,explore,experience,resume,friends,leadership,distracts,training,frustrating,boring,takes_time,money,transport,specialized_school
"Lower Cape May Regional, New Jersey, U.S.A.",1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0
Archbishop Alter High School OH USA,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1
"Bay High School, Bay Village, Ohio",1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0
"Bay High School, Bay Village, Ohio",1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0
"Berea-Midpark High School. Berea, Ohio 44017, US",1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0
"Bishop Rosecrans High School, Ohio, USA",1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1
"Bloomington High School South, Indiana",1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0
Brick Memorial High School (New Jersey/Ocean),1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0
"Camarillo HS, Camarillo CA",1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0
Capital High School (WA/USA) ,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0
Cherry Hill High School West,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0
Cherry Hill High School West,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0
Cherry Hill High School West,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0
Cherry Hill High School West,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0
Cherry Hill High School West,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0
Cherry Hill High School West,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0
Cherry Hill High School West,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0
Cherry Hill High School West,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0
Cherry Hill High School West,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0
Cherry Hill High School West,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0
Cherry Hill High School West,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0
Cienega High School in Vail Arizona in the United States,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0
Columbus High School Montana United States,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0
"Cosby High School, Virginia, USA",1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0
Dougherty Valley(CA),1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0
Downey High School (CA/USA),1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0
"E. D. White Catholic High School Thibodaux, LA",1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1
"East Bakersfield High School Bakersfield,California ",1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
"Edison High School, CA, USA",1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0
Fairfax High school (California/United States),1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0
"Fremont Ross, Ohio, USA",1,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0
"Fremont Ross, Ohio, USA",1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0
Fridley High School,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
"Greenville High School (Greenville, OH United States)",1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0
Harrison College - Barbados,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0
"Hercules High School California, USA",1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0
"Hilliard Davidson High School ( United States, Ohio)",1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0
Hunterdon Central Regional High school,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"La Cueva High School, New Mexico, United States",1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"Lawton Senior High School, Lawton, Oklahoma, USA",1,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
"livingston high school (nj, usa)",1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0
"Lower Cape May Regional, New Jersey, U.S.A.",1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0
"Lucy Ross- Ohio, USA",1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"Marina high school (cali, us)",1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
"Marine Academy of Science & Technology, NJ/USA",1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1
"Merced High School, Merced, CA, USA",1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0
"Milford jr./sr. High school nebraksa, USA ",1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0
"Mount Vernon High School Mount Vernon, Ohio, United States ",1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0
"Mystic Valley Regional Charter School - Massachusetts, United States",1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0
"Newark High School, Ohio, USA",1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Northside/US,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0
Otay Ranch High School (ca/USA) ,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
"Parsippany Hills in NJ, USA",1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0
Rancho Campana High School (California/USA),1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0
Richmond High School; California/USA,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
"Saint Mary High School Rutherford, New Jersey, USA",1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1
"Salem High School; Salem, OH, USA",1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0
"Segerstrom High School, CA, USA",1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0
"Spruce Creek High; Florida, USA ",1,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0
Stow Munroe Falls HS ohio ,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0
"Strongsville High School, Strongsville, Ohio, United States of America",1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Talawanda High School Ohio/USA,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0
UAIS (MI/USA),1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1
"Weatherford, OK, US",1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0
West Liberty Salem -Ohio ,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0
"William Henry Harrison High School Ohio, United States",1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0
